Company Name,Number Of Employees,Market Value,PE Ratio,Consumer Services,ESG Score
Apple,154000,27400,27.8,0.3188908146,16.4
Starbucks,383000,917.82,21.56,0.4557235421,24.9
Boeing,142000,1038,-24.65,0.3789473684,34.7
JP Morgan,271025,3866.97,8.56,0.4766169154,28.3
Morgan Stanley,75000,1473.95,10.45,0.2217438105,22
McDonald's,200000,1861.91,24.82,0.4362850972,24.6
Shopify,10000,744.45,25.81,0.5178926441,23.4
Netflix,11300,1527.68,30.61,0.4246575342,15.8
Disney,152000,2382.12,77.88,0.2534246575,14.5
Ford,183000,615.05,3.45,0.6097560976,30
American Airline,123400,111.2,-5.54,0.8156424581,29.2
Alibaba,259316,2680.78,26.54,0.7972166998,26.2
Baidu,45500,452.64,29.77,0.2942345924,20.7
Tesla,99290,10200,201.42,0.5,28.5
3D Systems,1721,19.19,5.77,0.7313691508,25.8
Uber,29300,625.39,3.58,0.9363817097,29.3
Twitter,7500,339.64,-158.86,0.2355864811,19.8
Pfizer,79000,2986.56,13.79,0.1298429319,25.2
Microsoft,181000,21100,30.04,0.02982107356,13.8
Micron,43000,803.55,9.05,0.05263157895,17.4
AMD,15500,1547.62,37,0.125,20
JD,320000,880.76,-156.89,0.8874172185,27.7
Cisco,79500,2152.69,18.51,0.116117851,11.8
Taiwan Semiconductor Manufacturer,56813,5053.31,23.65,0.04276315789,16.7
Biontech,71,417.43,3.82,0.1319371728,25.3
Bed Bath & Beyond Inc,37600,17.31,-4.67,0.770419426,18.5
AutoNation,22200,62.36,5.55,0.1633554084,13.5
General Motors,74000,581.79,5.98,0.6951219512,30.9
Occidental Petroleum,11678,554.09,37.43,0.462745098,43.5
Callon Petroleum,322,36.95,8.28,0.5725490196,46.1
Spotify,6617,267.6,-119.74,0.3220675944,21.2
Paypal,30900,1261.12,30.75,0.09343936382,16.4
United States Steel Corp,24540,94.54,2.43,0.2,35.5
Delta Air Lines,83000,247.14,87.77,0.6424581006,26.5
3M,95000,845.68,14.68,0.125,33.6
Goldman Sachs,43900,1080.61,5.38,0.3175457481,25
Oracle,132000,2116.65,30.28,0.03280318091,14
Carnival,39000,217.57,-2.22,0.380952381,23.8
Macy's,88857,70.47,5.44,0.4392935982,17.6
General Electric,168000,989.39,-14.61,0.3839285714,40.7
Eli Lily,35000,2933.99,50.34,0.3560209424,32.4
Coursera,1138,31.61,-21.56,0.7504970179,25.6
Zoom,6787,318.81,23.68,0.2027833002,19.1
Cloudflare,2440,369.19,-137.25,0.6242544732,24.5
Nucor,28800,422.63,6.79,0.1071428571,32.1
EQT,693,150.79,2.2,0.2666666667,37.4
Sony,109700,1124.81,12.58,0.1227272727,13.9
Amazon,1608000,15300,46.53,0.9867549669,30.2
Alphabet,156500,16912.4,22.77,0.611332008,24.3
Walmart,2300000,4216.55,31.46,0.6262626263,27.4
IBM,307600,1129.79,19.84,0.04970178926,14.8
